"","logFC","logCPM","LR","PValue","FDR"
"AKAP3",-1.21577545732809,-0.529706738185642,28.9683578565815,7.35702701089987e-08,2.31287035910526e-07
"AKAP5",1.00125108515986,0.808862236347532,31.8666583007676,1.65127401345547e-08,5.72861104548162e-08
"AKR1B10",4.08761641964962,9.68483567124016,59.2287644632304,1.40366951458409e-14,1.07008549566266e-13
"AKR1B15",4.31088457098352,1.8142356754298,35.272294995818,2.86681360947335e-09,1.10204090877179e-08
"AKR1C1",1.31224920912255,10.0324919377822,27.2192746159653,1.81638812076709e-07,5.40961632353745e-07
"AKR1C2",1.4403638329872,8.89754554356747,29.7626076355761,4.88320228764347e-08,1.57377826175901e-07
"AKR1C3",2.0835133191041,8.99805564546955,120.24779375141,5.58322814185076e-28,1.92448556689461e-26
"AKR1D1",-1.48403746968755,6.5514014926382,31.3253745674332,2.1820894050335e-08,7.43646617624059e-08
"AKR7A3",-1.43213155971745,6.52654791580357,40.591476313203,1.87623331197713e-10,8.4093590270876e-10
"ALDH1B1",-1.03257277564106,7.16451783323468,51.5588644062,6.94822595998177e-13,4.21052604531838e-12
"ALDH1L2",1.19310629319109,-0.0573694441842362,29.840146837805,4.69175223095952e-08,1.51646566304088e-07
"ALDH2",-1.13023392207149,9.77560850629986,78.459859170966,8.16404330373809e-19,1.03767212386494e-17
"ALDH3A1",5.56214775618189,7.36124392074614,50.2035776580045,1.38594901531752e-12,8.11009858316561e-12
"ALDH3B2",4.06920028894379,-0.307160387299919,12.4572610564302,0.000416370044694623,0.000783542069029515
"ALDH6A1",-1.61334074722902,6.67223515497501,87.3317438085021,9.17632453120299e-21,1.47278991394929e-19
"ALDH8A1",-1.57862283444696,6.7670763351804,76.4502160836532,2.25834996573527e-18,2.71771674596422e-17
"ALDOA",1.47511864869593,8.88574211460466,54.5267253959432,1.53348113311953e-13,1.01882544121943e-12
"ALG11",1.05728392114124,-0.804232519218411,39.3735047937371,3.50014134623581e-10,1.51756652499119e-09
"ALG1L",3.53472249100207,2.40260490661496,88.7662558955504,4.44331073392171e-21,7.37681301547989e-20
"ALOX15B",3.68090029361722,1.76335611595781,30.7755005236914,2.89672036462931e-08,9.67154536871277e-08
"ALPI",9.84499362873084,3.31140561028902,41.7505532566988,1.03692904944165e-10,4.81759366135007e-10
"ALPK3",2.08955843947318,3.64875245139444,59.4411715756852,1.26005104181088e-14,9.66194858702124e-14
"ALPL",-1.58320518875883,5.58126591453124,53.0663188562493,3.22474742672648e-13,2.04847163215091e-12
"ALS2CL",1.21162630182074,4.35056513773111,37.1700207336837,1.08265471188751e-09,4.39898744428724e-09
"ALS2CR4",1.00852511058266,2.9871088279088,63.8516020610555,1.3415321136537e-15,1.16295571313561e-14
"ALX3",2.74710120090983,-0.23632706068802,69.4215818013056,7.95138341350335e-17,8.03855989366537e-16
"AMBN",8.33151848399443,-0.309438853527959,22.872634136041,1.73098856061719e-06,4.52664765029895e-06
"AMDHD1",-1.14492865562518,6.32325144428336,38.4341234893733,5.66334364734719e-10,2.38893432350365e-09
"AMN",-1.23581647412868,5.18531612364093,18.6681436622455,1.55559880087223e-05,3.59234388901377e-05
"AMOTL2",-1.01881770746513,4.44126439719677,48.0808293199836,4.09005907084567e-12,2.25139867561341e-11
"ANGPT1",1.13681764352111,1.76806581650559,32.0404489920275,1.50995631306636e-08,5.26738254078594e-08
"ANGPT2",1.33290429017841,3.09812329748202,46.8197932336196,7.78234223869211e-12,4.13146199448279e-11
"ANGPTL6",-3.19569998845732,2.78566373563383,344.017698164975,8.50946585128952e-77,1.75987910184455e-73
"ANGPTL7",4.91105471874397,0.412743077676864,8.81771615133226,0.00298319813138899,0.00494705147172032
"ANKAR",1.38332187714914,0.268570932667197,82.2641282296329,1.19063497869556e-19,1.66700411862434e-18
"ANKFN1",9.34916243035176,2.02648194397652,19.1211486273232,1.22677948056674e-05,2.86869432081485e-05
"ANKRD13B",1.88622444488943,0.810439288317117,86.8481000792569,1.17184546957489e-20,1.86221809693038e-19
"ANKRD19",1.26593420695105,1.89990824805829,33.9248588385497,5.72821131420083e-09,2.11819451329976e-08
"ANKRD22",1.31664141612807,2.49011890845243,9.39882155105317,0.00217124955628636,0.00367850242183752
"ANKRD23",1.18027037056533,0.299861021583091,68.9608004749084,1.00440098532447e-16,1.00349986642804e-15
"ANKRD26P1",6.5998391553207,-0.56067946541437,9.34360819457902,0.00223764526614836,0.00378174066285663
"ANKRD27",1.0419765909221,3.96304660327817,70.330335169728,5.01603903941438e-17,5.15747139017059e-16
"ANKRD29",1.81740441704991,2.26164458981504,50.3280497862138,1.30076933260433e-12,7.64254773868218e-12
"ANKRD33",6.33217706199493,-0.529016408214079,27.8302705671324,1.32437707292783e-07,4.02963574711562e-07
"ANKRD36",1.18212262168043,1.04086730686479,61.9942048069039,3.44469574661486e-15,2.84309656915494e-14
"ANKRD43",1.79246150914361,3.19343117675374,56.4231387453977,5.8438616310907e-14,4.08900845013533e-13
"ANKRD52",1.42127439550399,4.46606796493437,128.607658840612,8.26408403017916e-30,3.29584420123702e-28
"ANKRD56",-1.07828862981022,3.45132360213213,39.3058434181085,3.62355284358051e-10,1.56778764245413e-09
"ANKS1B",3.68434229473842,0.0839282646135585,49.4839128853526,2.0000507730787e-12,1.14490846349784e-11
"ANKS3",1.05526755794975,2.78467686557341,85.9524987952489,1.84310160796581e-20,2.8690948364001e-19
"ANKS6",1.49284333142871,3.11244485565497,37.1114168888109,1.11568579494199e-09,4.52177582681275e-09
"ANLN",4.3030235466613,3.52810563416811,214.332350615428,1.55852745297074e-48,2.53514628501768e-46
"ANO2",4.40544304697997,-0.173949680878732,69.3950849565734,8.05892429595542e-17,8.13591680840632e-16
"ANO9",1.89249461206637,1.23679281100776,29.1959992102194,6.54141373963137e-08,2.07130460867549e-07
