V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
55165,467,10293,1062,10621,112476,10131,10961,10471,10681,0.9911,0,0,0,0,0,0,0.000398666993284941
55166,1958,1012,10249,10092,10062,0.9951,0,0,0,0,0,0,0,0,0,0,0.000222995430941691
55203,1869,1870,1875,144455,10052,1029,10085,10253,10051,10309,0.999,0,0,0,0,0,0.000385455979608445
55204,2353,23462,10332,10164,10486,10163,10535,10112,10216,10371,0.9959,0,0,0,0,0,0.000308997534313323
55205,2354,8061,2353,3726,3725,10332,10164,1020,10112,10036,10216,10402,10120,10319,10124,0.9948,0.000653756971214753
5521,18,21,4363,10257,116236,5452,1869,6929,5460,3172,4609,7391,0.9925,0,0,0,0.000431416351608042
55215,1869,1958,1012,10052,10085,0.9989,0,0,0,0,0,0,0,0,0,0,0.000240733894770872
5522,367,1012,1893,10401,1071,11140,0.996,0,0,0,0,0,0,0,0,0,0.000195297620578289
55225,18,21,10257,10057,116236,5452,3172,4609,5460,0.9914,0,0,0,0,0,0,0.000300117666097733
55240,4609,10061,10067,1020,10055,10197,10062,0.9926,0,0,0,0,0,0,0,0,0.000313437149868713
55247,7020,10092,10221,10196,10128,1021,10139,1020,10059,10124,0.9903,0,0,0,0,0,0.000464424777786813
55248,21,4363,10257,30,10449,140690,1869,0.9922,0,0,0,0,0,0,0,0,0.000252769693194019
55329,9625,18,89845,10449,414149,7025,6772,0.9931,0,0,0,0,0,0,0,0,0.000175496596338568
55351,21,10257,10057,116236,176,5452,4609,1488,5885,5460,1958,0.9927,0,0,0,0,0.000378780148654732
55353,4609,10067,10061,10197,10221,10055,1021,100132464,10213,10036,10124,0.9898,0,0,0,0,0.000464777461886686
55355,21,89845,10257,10057,116236,5452,3172,4609,7157,5460,5451,6775,7025,0.9949,0,0,0.000496468438898131
55356,4363,30,10449,32,36,4609,6257,6688,4149,51085,7157,3172,7391,6774,6945,0.9894,0.00055487825335957
55384,1960,10540,10894,11004,10262,1031,10535,11273,11335,11060,0.9914,0,0,0,0,0,0.000407962846842219
55388,1869,1870,1875,144455,3725,10052,10164,10216,10085,10092,10221,10131,10103,1021,10124,0.9959,0.000635008835080741
554235,1958,1959,1960,2099,4602,1012,1020,10057,10131,10051,10156,0.9942,0,0,0,0,0.000479628273047082
55466,340273,4363,10257,10060,10965,5087,1869,4609,4800,6775,6778,405,1050,1523,2296,0.9889,0.000481316576955402
5549,18,10057,10449,6296,72,23462,5087,7391,3170,3727,6772,0.9962,0,0,0,0,0.000308559846131101
55502,1050,1958,4609,4854,11317,1012,10061,10067,10092,10055,10038,10062,0.9978,0,0,0,0.000470648447864007
55504,1050,2353,10332,1012,10164,10112,1033,10163,0.9953,0,0,0,0,0,0,0,0.000262437927663752
55512,2099,10486,10401,10411,11331,1020,10763,111,10307,0.9964,0,0,0,0,0,0,0.000320139748706989
55536,1869,7020,10052,10085,10051,10092,10057,10128,10016,10158,10130,0.9967,0,0,0,0,0.000383259542518243
