V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
2171,1869,4609,10052,10061,10092,10085,0.9985,0,0,0,0,0,0,0,0,0
2173,1959,1960,10540,10894,10262,11273,11004,11060,10535,1031,10197,0.9902,0,0,0,0
2175,53335,1869,1879,1958,4609,10052,10085,10061,10092,10067,10055,0.9964,0,0,0,0
2177,467,675,4609,5888,10061,10067,10197,100132464,10055,10124,10131,1020,10007,10056,0.9885,0
2178,675,1958,7020,1012,10057,10092,10139,10044,10016,10121,10013,10116,10079,0.9945,0,0
218,2354,8061,2353,3726,3725,10332,10164,10402,10112,10216,0.9954,0,0,0,0,0
2180,367,1869,1870,6258,1012,10052,10085,10253,10051,0.9991,0,0,0,0,0,0
2182,1958,6258,1012,10249,10253,10092,10062,0.9953,0,0,0,0,0,0,0,0
2189,675,1869,1870,1875,144455,10052,10085,10092,10253,10051,1003,1029,0.9988,0,0,0
219,7020,10221,10196,10092,10057,1020,0.9901,0,0,0,0,0,0,0,0,0
2191,4773,4776,144455,1827,1869,1870,2353,1959,1958,1960,1879,1019,0.9887,0,0,0
2192,1869,1870,1875,144455,2099,10052,1020,10253,10085,10124,10092,10057,10196,1018,1021,0.9991
2194,1050,1869,1958,1959,2353,1012,10052,10092,10085,0.9981,0,0,0,0,0,0
2195,53335,1879,10038,10171,10313,100289635,0.9919,0,0,0,0,0,0,0,0,0
219527,10351,340273,116236,32,84320,2186,1523,5452,4149,6721,144455,1870,1869,0.9937,0,0
219595,3725,10332,10164,1020,10221,10216,10411,10300,10544,0.9926,0,0,0,0,0,0
219623,8754,112,130,174,83543,10782,2353,23462,2551,10127,2033,2962,140690,3170,0.9957,0
219654,1050,1958,7020,1012,10057,10044,10107,10092,10106,10059,10099,0.9941,0,0,0,0
219736,7020,10221,10092,10196,10057,10130,10016,10059,0.9881,0,0,0,0,0,0,0
219790,9625,18,89845,4363,30,6257,4149,0.9917,0,0,0,0,0,0,0,0
219902,21,340273,10257,10057,10060,7391,1869,5087,2099,4609,0.9855,0,0,0,0,0
220134,89845,84320,11093,134637,130,7025,6925,0.9975,0,0,0,0,0,0,0,0
2202,4363,10257,10057,116236,30,5452,6257,1958,6688,4609,7391,5460,4149,1869,2625,0.9904
2203,2308,143941,10733,11337,1031,152503,114879,10112,140609,1030,113263,0.9929,0,0,0,0
220359,1869,1870,10052,10085,10092,1029,10253,10309,10051,10236,0.999,0,0,0,0,0
220963,21,89845,4363,10257,30,7025,7391,1869,7157,6257,0.9927,0,0,0,0,0
220965,2099,1020,111,10486,10401,10411,10555,11243,10987,1022,10763,0.9951,0,0,0,0
221002,1958,1960,1012,10249,10092,10062,10097,10044,10036,10130,10152,10156,0.996,0,0,0
221079,1958,7546,1012,10249,10062,10092,10210,10243,10130,10009,10097,10156,0.9965,0,0,0
221150,21,10257,10057,116236,84448,5452,4609,7391,5460,6775,0.9917,0,0,0,0,0
2213,1879,10171,10128,10038,10133,10313,10521,10227,0.9935,0,0,0,0,0,0,0
221416,467,10293,1062,10841,10621,112476,11234,10471,11243,10131,0.9802,0,0,0,0,0
221527,1958,4609,1012,10092,10061,0.9957,0,0,0,0,0,0,0,0,0,0
221584,9869,114897,197257,1312,1259,2176,23309,2109,10587,0.991,0,0,0,0,0,0
221662,3725,4783,10332,10164,10174,10067,10402,10131,1019,10216,0.9929,0,0,0,0,0
221935,1050,1649,1958,1959,1960,1012,10163,1009,10130,0.9948,0,0,0,0,0,0
221937,1958,2099,4609,1012,10061,10124,10092,0.9943,0,0,0,0,0,0,0,0
221981,249,467,84913,25825,114905,11243,10621,10471,11124,10293,112476,0.9905,0,0,0,0
222,53335,1879,10038,10171,10128,100289635,10313,10017,10411,10133,0.9919,0,0,0,0,0
222171,7020,10221,10196,10057,10092,10130,10059,10016,1020,0.9869,0,0,0,0,0,0
222183,1958,1012,10249,10092,10243,10036,10097,10253,0.9954,0,0,0,0,0,0,0
222256,467,10293,1062,10841,1073,10131,1019,112476,10681,11060,10521,0.9891,0,0,0,0
2224,18,21,10351,4363,10057,2625,4149,7391,4800,3172,2099,7157,0.9826,0,0,0
222865,1879,10171,10038,10552,10128,10313,10610,10227,10654,10783,0.9879,0,0,0,0,0
2237,1869,4609,10052,10061,10092,10067,10085,10131,0.9981,0,0,0,0,0,0,0
2241,2625,143941,10164,10293,0.9939,0,0,0,0,0,0,0,0,0,0,0
2257,4773,4776,1827,144455,1870,1869,2353,1959,1958,1879,1960,10971,0.9855,0,0,0
2258,367,467,1958,2625,3217,1012,10164,10057,10036,10174,10062,10138,10131,1019,10092,0.993
226,60468,1869,1870,1875,144455,10052,10164,10085,1029,10134,10221,10253,10092,10051,0.9954,0
2262,1960,10540,10894,11004,10262,10535,11273,11335,1031,10155,10765,0.9911,0,0,0,0
2272,675,1869,4609,10052,10061,10092,10067,10085,100132464,10055,0.9976,0,0,0,0,0
2274,367,2099,9457,2353,2308,1012,10164,1020,10057,10251,10112,10036,10121,0.9934,0,0
22796,21,340273,89845,10257,10057,1869,7025,6773,6778,7391,7157,0.9934,0,0,0,0
22801,10057,116236,36,176,47,5452,1488,4609,7391,0.9962,0,0,0,0,0,0
22808,1869,4609,10052,10067,10061,10092,10055,10085,10131,10051,0.9982,0,0,0,0,0
22822,51166,9625,89845,116236,176,5452,6935,4303,7025,0.9949,0,0,0,0,0,0
22844,1958,1959,1960,6662,1012,10249,10092,10097,0.995,0,0,0,0,0,0,0
22849,4824,1879,23428,2800,23705,11232,161198,23039,284273,130271,123803,0.9955,0,0,0,0
22865,4824,22849,1894,284273,1879,23428,0.9935,0,0,0,0,0,0,0,0,0
22915,10057,116236,36,176,47,5452,4609,7391,5460,1488,4790,5885,1958,6720,2625,0.9922
2294,1869,1958,3725,4609,10052,10061,10092,10067,10085,10044,100132464,10055,10013,10097,0.9944,0
22943,2353,3725,10332,10164,10112,10402,0.9948,0,0,0,0,0,0,0,0,0
22948,2648,4602,4609,10061,10055,100132464,10051,10067,10036,10062,10058,10124,0.9902,0,0,0
22974,414149,47,10965,6296,8754,7391,2353,3725,6720,4205,3174,5087,405,4800,5885,0.9912
22983,467,1959,1960,6662,10540,1062,10293,1031,10262,10535,10044,10197,10554,0.9924,0,0
22995,7020,10016,10092,10221,10196,0.9891,0,0,0,0,0,0,0,0,0,0
22996,1879,10038,10128,10512,10171,10003,10103,10313,10017,0.9927,0,0,0,0,0,0
2302,10351,32,176,84320,414149,2186,4149,51085,3066,144455,6720,1870,1488,5885,6721,0.9936
23025,1958,1959,1960,1012,10249,0.9947,0,0,0,0,0,0,0,0,0,0
23026,2353,3725,4609,5993,7020,10061,10067,10057,10038,100289635,10099,10127,10112,10092,100132464,0.9911
23029,7020,10221,10057,10130,10196,102,10062,10059,10128,10092,1021,0.9913,0,0,0,0
23037,8022,1893,143941,1869,0.9932,0,0,0,0,0,0,0,0,0,0,0
23046,21,30,10449,36,84320,6257,6721,10009,144455,0.9903,0,0,0,0,0,0
2305,983,1869,1870,1875,1958,1012,10052,10085,10044,10092,10062,0.9982,0,0,0,0
23057,1050,1012,1033,1071,0.9971,0,0,0,0,0,0,0,0,0,0,0
2306,9625,18,21,89845,4363,7025,6935,1488,0.993,0,0,0,0,0,0,0
23066,18,21,36,176,134526,5885,1488,4149,4849,2959,3172,140690,0.9923,0,0,0
2307,21,10257,10057,116236,176,5452,1488,5460,1958,2625,7391,5885,1869,11030,0.9937,0
2308,8038,367,60468,114899,777,1012,1071,10164,10401,10221,10733,10112,10765,1031,10499,0.9945
23086,21,89845,4363,10257,10057,7391,6688,1869,7025,2033,0.988,0,0,0,0,0
23089,2353,10332,10164,10486,10112,10216,10036,10300,10371,0.9952,0,0,0,0,0,0
23094,7020,10092,10196,10221,1020,10016,10057,0.9874,0,0,0,0,0,0,0,0
23098,1958,1959,1960,1012,10249,0.9949,0,0,0,0,0,0,0,0,0,0
23101,1958,1012,10249,10092,10253,10036,10130,10097,10243,1021,10013,0.9953,0,0,0,0
23105,21,30,36,84320,6296,6257,3172,2186,6256,144455,5885,3174,4211,10664,0.9924,0
23119,1958,3725,1012,10164,10092,10062,10130,10036,10016,1019,10013,0.9955,0,0,0,0
23126,1958,3725,8022,4783,1012,10164,10174,1020,10067,10013,10016,100131187,10200,10092,0.9941,0
23135,1879,4609,10197,10067,10061,10055,10036,10128,0.9897,0,0,0,0,0,0,0
23138,1869,10052,1029,10253,10196,10085,1031,0.9995,0,0,0,0,0,0,0,0
23139,1869,2353,10052,10164,10216,10092,10158,10085,1003,10051,10097,0.9973,0,0,0,0
2315,4609,10067,10061,10055,10197,10221,100132464,10036,0.9889,0,0,0,0,0,0,0
23150,11174,130,174,226,203286,144455,4800,1958,2353,2099,5460,4824,1870,5452,10413,0.9919
2316,367,675,1958,1012,10221,10249,1020,10107,10123,10156,1021,10036,10092,0.9961,0,0
23166,3725,10332,10402,10164,10221,10216,10163,1019,10302,0.9936,0,0,0,0,0,0
23169,9625,18,89845,84448,10449,7025,1050,3172,1386,0.9915,0,0,0,0,0,0
23171,4609,7020,10067,10061,10092,10055,10057,10036,100132464,10059,10038,0.9945,0,0,0,0
2318,467,60468,2353,7020,10164,10092,10057,10112,10134,10059,10130,10062,10016,0.99,0,0
23213,10057,116236,36,176,47,5452,4609,0.9947,0,0,0,0,0,0,0,0
23231,1958,1959,1960,3725,1012,10164,10092,10163,10130,10197,10036,10062,0.9937,0,0,0
23236,1050,1012,1071,1033,0.9977,0,0,0,0,0,0,0,0,0,0,0
23246,1879,4609,7020,10092,10057,10059,10055,10067,10061,10036,10101,10038,0.9953,0,0,0
23281,21,4363,10257,116236,84448,1869,5452,4609,7391,5460,55734,1958,1050,79027,7157,0.991
23288,53335,1879,1958,7020,1012,10038,10036,10057,10092,10094,100289635,10128,10054,10059,0.9967,0
23302,9625,116236,84320,2182,4185,6257,144455,3172,1870,5452,5460,2186,1869,6256,1958,0.9938
23305,6258,1869,30,1376,364,33,34,5106,0.9879,0,0,0,0,0,0,0
23327,1879,1958,2354,8061,2353,1012,10164,10112,10062,10092,10036,10054,10038,0.9957,0,0
2334,21,10257,116236,30,10449,6257,5452,0.993,0,0,0,0,0,0,0,0
23345,1869,1870,1875,144455,10052,10085,10253,0.9987,0,0,0,0,0,0,0,0
23381,60468,2099,10164,10411,1020,10486,10401,10307,10121,10162,10221,10555,0.991,0,0,0
23397,21,4363,10257,30,36,6257,6688,4609,7391,7157,1050,1869,6778,10009,0.9906,0
23414,2625,4602,5460,10044,1009,10164,10402,10057,10174,10051,10253,0.9934,0,0,0,0
23416,60468,1958,1959,1960,2354,1012,10164,10092,10197,10097,10130,10013,10044,10134,10062,0.9936
23417,1958,1012,10253,0.9946,0,0,0,0,0,0,0,0,0,0,0,0
23421,1869,1958,2099,4609,1012,10052,10085,10061,10062,0.9971,0,0,0,0,0,0
23423,21,89845,4363,10257,30,7391,1869,7025,7157,6257,0.9912,0,0,0,0,0
23428,1879,1958,23764,4609,4824,10061,10067,1012,10092,10111,10055,10056,10023,10124,10038,0.9966
23432,340273,10965,130399,8751,8754,3659,9319,1869,0.9918,0,0,0,0,0,0,0
23462,6296,174,1645,8644,29028,1284,1634,147111,116535,10124,126393,1778,10783,10535,0.9956,0
2348,7020,10221,10057,10196,10092,10130,10059,0.9885,0,0,0,0,0,0,0,0
23491,18,21,10257,10057,116236,5452,5460,3172,0.9926,0,0,0,0,0,0,0
23498,9625,18,21,89845,4363,7025,7391,4609,7157,6872,4149,10664,2551,3174,1050,0.9907
23508,18,21,36,134526,2182,6257,4149,4609,1958,7391,5465,3172,4205,0.9894,0,0
23513,2625,4602,4609,7020,10061,10092,10067,100132464,10059,10107,0.99,0,0,0,0,0
23516,1050,1869,1870,1875,144455,1012,10052,10085,10253,0.9994,0,0,0,0,0,0
2353,6296,8754,140766,170690,130,10332,10164,10486,10300,10216,0.9945,0,0,0,0,0
23532,467,1958,8061,3725,4609,1012,10067,10061,10092,10055,100132464,10016,10054,10013,0.9937,0
2354,134,148,147,218,11199,10332,10164,10251,10902,126393,1289,1020,11062,0.9972,0,0
23542,4609,10061,10067,10055,10197,10221,100132464,10213,10036,10171,1021,0.9897,0,0,0,0
23551,21,340273,4363,10257,10057,4087,6778,7391,1869,2625,5087,2099,7157,4089,1523,0.9914
23555,3725,10332,10164,10221,10402,10216,1020,10131,10615,10300,0.9934,0,0,0,0,0
23563,10057,47,6296,11093,130,23462,2551,6720,6925,5452,7020,1051,3174,5885,0.9981,0
2357,1869,10052,10092,10236,1029,10085,1030,10097,10376,10051,10253,0.999,0,0,0,0
23590,1958,1012,10249,10253,10097,10092,0.9938,0,0,0,0,0,0,0,0,0
23604,7020,10221,10057,10196,10059,10128,10130,10092,10016,1021,0.9893,0,0,0,0,0
23612,7020,10221,10196,10092,10057,10130,10128,0.9891,0,0,0,0,0,0,0,0
23623,467,1050,1649,1869,1870,1012,10052,10085,10113,10092,1021,1009,0.9991,0,0,0
23627,30,10449,6296,140,56895,6257,7391,2353,3174,1870,6772,5885,3727,6925,0.9939,0
23642,53335,1869,1879,4609,10085,10052,10061,10051,10092,10131,10055,1009,0.9985,0,0,0
23643,30,10449,6296,140,56895,6257,5885,3174,1870,1869,6772,0.9937,0,0,0,0
23645,1050,2353,3725,7020,1012,10057,10092,10112,10059,10121,10096,10062,10016,0.9931,0,0
23649,1869,1870,1875,144455,1958,1012,10052,10085,0.9982,0,0,0,0,0,0,0
23657,1050,1649,1960,3725,1012,10164,10163,10221,10262,10216,10154,10131,10197,10062,0.9949,0
23676,340273,10060,10965,2182,23305,6257,1958,5087,4800,6256,405,196,6935,1523,2908,0.9873
23762,21,30,36,84320,6296,6257,3172,6256,10664,2186,144455,0.9921,0,0,0,0
23764,6296,443,467,587,158511,10817,10124,10293,10471,10607,10236,1062,10319,10621,0.9859,0
2395,4609,7020,10067,10061,10056,10055,10092,10016,10038,100289635,10019,10116,0.9943,0,0,0
24137,1869,7020,8458,10052,10085,10092,10016,10051,10124,10139,10090,0.9987,0,0,0,0
24146,3725,10332,10164,10402,1019,10221,10216,10131,10163,10616,0.994,0,0,0,0,0
246778,9625,21,340273,4363,10257,1869,7391,5087,4609,3725,1050,7157,0.982,0,0,0
247,53335,1879,10038,10171,10552,10128,10313,100289635,10654,10783,10521,0.988,0,0,0,0
248,4363,116236,30,10449,32,5452,4609,6257,5460,0.9917,0,0,0,0,0,0
2487,340273,10060,10965,2182,23305,6257,1958,196,5087,1523,4800,405,2908,0.988,0,0
249,1958,1012,10249,10092,10211,10243,10048,10013,10016,0.9948,0,0,0,0,0,0
2491,2308,143941,114907,140609,10733,1499,1369,1462,1030,10112,1031,0.9911,0,0,0,0
2495,1879,2353,23764,10164,10112,10036,10038,10216,10300,10128,10221,10236,10023,0.9918,0,0
2512,2354,8061,2353,3726,3725,10332,10164,10402,10112,10216,0.9953,0,0,0,0,0
2520,60468,8022,7020,10164,10092,10196,10059,0.9901,0,0,0,0,0,0,0,0
252983,340273,4363,36,112,147,7391,2354,7157,6772,4282,6927,4802,0.9917,0,0,0
253018,1958,3725,7020,1012,10057,10092,10059,10130,10036,10013,10128,10062,0.9945,0,0,0
253190,1879,10038,10171,10128,10313,100289635,0.9881,0,0,0,0,0,0,0,0,0
2535,23764,5993,11274,11112,10283,10980,10765,10384,10236,11198,0.9911,0,0,0,0,0
253738,467,8022,4783,5460,7020,10067,10092,10059,10174,10057,10130,10165,10121,10016,10124,0.9929
253769,1958,4609,1012,10067,10061,10092,10055,100132464,10096,10013,10036,10097,0.9951,0,0,0
2539,7020,10221,10092,10196,10057,1020,1021,10130,10016,10059,10139,0.9877,0,0,0,0
253982,4609,10067,10061,10055,10197,10036,10221,100132464,10056,10213,0.9899,0,0,0,0,0
254295,9625,21,340273,10257,10057,7391,1869,2625,0.9894,0,0,0,0,0,0,0
2543,23462,2146,10535,1634,1778,1213,10841,2065,116535,1370,0.9919,0,0,0,0,0
254428,60468,1869,1870,1875,144455,10052,10164,10134,10253,10085,10092,0.9975,0,0,0,0
2555,1958,1012,10249,10092,10243,10036,10253,10097,10130,10013,0.996,0,0,0,0,0
255743,53335,1879,1958,1012,10038,10092,0.9955,0,0,0,0,0,0,0,0,0
255758,1869,3725,7020,10052,10085,10057,10092,10051,10131,10059,10121,10111,0.9969,0,0,0
256236,21,4363,10257,30,10449,1869,6257,3662,0.9906,0,0,0,0,0,0,0
2563,1958,1012,10249,1021,10253,10243,1019,10092,1020,10200,10226,0.9965,0,0,0,0
256309,21,30,36,84320,6296,6257,2186,5885,4800,144455,6721,1869,23462,0.9938,0,0
256394,21,10257,10057,116236,30,5452,6688,0.9897,0,0,0,0,0,0,0,0
2564,23462,2146,10535,1213,10841,1778,1634,10128,116844,2065,1284,0.9927,0,0,0,0
256472,467,60468,3725,10332,10164,10293,10402,10134,10216,10221,10131,10411,0.9923,0,0,0
256714,10092,29028,8851,7123,5067,3131,2099,23462,1499,4609,1874,4303,4824,0.9895,0,0
256933,60468,2354,8061,2353,3726,10332,10486,10164,10112,0.9936,0,0,0,0,0,0
257,21,30,36,84320,47,6257,1870,0.9945,0,0,0,0,0,0,0,0
257019,21,10257,10057,116236,176,5452,5885,1488,4609,5460,1869,0.9941,0,0,0,0
2571,1869,1870,1875,144455,10052,10085,10092,10253,1029,0.9994,0,0,0,0,0,0
25778,1958,1012,10249,10130,10253,10036,10243,1021,10016,0.9963,0,0,0,0,0,0
25787,21,30,36,84320,6296,6257,2186,1870,10664,144455,6256,5885,0.9941,0,0,0
25788,5888,26150,1454,26003,7431,1874,1107,641,840,25,5080,51157,0.9873,0,0,0
25797,84448,10965,130399,8751,8754,1869,9319,1958,2353,4800,0.9893,0,0,0,0,0
258,30,10449,6296,9509,140,6925,3170,2353,5885,988,3169,3174,6257,1523,7391,0.9955
25802,176,414149,47,10965,6296,405,6720,7391,4149,2353,4800,1488,5087,0.9953,0,0
25803,367,1879,3725,4824,1012,10164,10038,0.9918,0,0,0,0,0,0,0,0
25809,7020,10221,10057,10196,10059,10130,10092,10128,1021,1020,1017,0.9899,0,0,0,0
25825,21,10257,10057,116236,176,5452,4609,5885,1488,1869,5460,2099,6775,0.9931,0,0
25827,4609,10067,10061,10055,10197,10036,10221,100132464,0.9893,0,0,0,0,0,0,0
2583,1869,7020,10052,10085,10051,10092,10124,10099,0.9986,0,0,0,0,0,0,0
25830,467,1869,1870,1875,144455,10052,10085,10092,10253,1003,10131,10227,10051,0.9987,0,0
25833,5460,7020,10221,10057,10196,10092,10130,10059,10016,10128,10139,10121,0.9896,0,0,0
25834,358,367,147685,761,8318,1012,10401,1071,11140,11188,1499,1376,1581,0.9978,0,0
25849,51166,21,10257,10057,116236,5452,6688,4609,1869,140690,7157,0.993,0,0,0,0
25854,79841,336,367,55723,467,1012,1071,10401,10293,10621,1021,1062,10681,0.9959,0,0
25859,23764,11112,2308,1958,10236,1213,10283,0.9849,0,0,0,0,0,0,0,0
25879,4609,10067,1021,10055,10061,10131,10128,10036,10197,10221,100132464,0.9926,0,0,0,0
25884,6296,170690,174,4329,144193,4149,1870,1869,4609,3172,3727,5885,405,23462,0.992,0
25886,1958,4602,4609,7020,10061,10067,10057,10092,10055,100132464,10051,10097,10013,10059,0.9876,0
25891,11174,114,79924,148,147,4303,4282,4824,4784,6667,5460,5452,7391,0.9977,0,0
25894,2354,8061,2353,3726,3725,10332,10164,10402,10216,10112,0.9951,0,0,0,0,0
25902,1050,1649,1869,4609,1012,10052,10067,10061,10085,10051,10105,10038,10131,0.9981,0,0
25903,21,10257,10057,116236,32,4609,5452,1869,51085,5460,0.9937,0,0,0,0,0
259173,53335,1879,3725,10332,10164,10402,10300,10038,1019,0.9956,0,0,0,0,0,0
259217,1869,2354,8061,2353,3726,10052,10164,10092,10085,10216,10051,10196,10163,10112,10158,0.9945
259236,340273,10060,10965,2182,23305,6257,1958,5087,4205,1523,6935,10210,0.9867,0,0,0
259266,84320,414149,47,10965,6296,5885,6720,4800,7391,144455,405,3174,23462,5087,4211,0.9947
25928,176,9509,9719,174,56895,5885,988,1870,1869,1051,2353,3170,6925,5080,0.9947,0
259307,53335,1869,1870,1875,144455,10052,10085,10092,10253,1009,1029,0.9987,0,0,0,0
2597,367,60468,1869,1870,1875,1012,10052,10164,10085,10221,10092,10134,10253,10051,1021,0.9971
25984,2099,10486,10401,10411,1020,111,10555,10307,11331,11243,10763,0.9927,0,0,0,0
260294,3725,10332,10164,10402,10131,1019,10216,0.9946,0,0,0,0,0,0,0,0
26031,1050,1012,1071,1033,10922,0.9976,0,0,0,0,0,0,0,0,0,0
26049,9625,18,21,89845,10257,1869,7025,4149,7391,2551,140690,6772,0.993,0,0,0
26052,2353,3725,6714,10332,10112,10164,10036,10402,1019,0.9957,0,0,0,0,0,0
26086,1958,7020,9319,1012,10057,10139,10123,0.9941,0,0,0,0,0,0,0,0
26140,4609,10067,10061,10055,10221,10197,10036,1020,10056,100132464,0.9914,0,0,0,0,0
26147,1958,8061,3725,4609,9869,1012,10061,10062,10067,10092,100132464,10016,0.9954,0,0,0
26150,25788,1454,26003,8445,51157,3170,79090,7329,5080,5888,4800,0.9829,0,0,0,0
26151,1869,1958,3725,4609,10052,10085,10062,10061,10092,0.9957,0,0,0,0,0,0
2619,1869,4609,10052,10061,10092,10067,10085,100132464,10051,10055,10096,0.996,0,0,0,0
26227,340273,10057,116236,36,176,5452,1958,5460,4609,7391,1488,4790,2625,5885,0.9906,0
26230,4609,10067,10061,10055,10197,10221,100132464,0.9889,0,0,0,0,0,0,0,0
2625,10057,112,22977,284,367,1012,10253,10293,1071,0.9957,0,0,0,0,0,0
2629,467,2114,2353,3725,4773,10112,10216,10164,0.988,0,0,0,0,0,0,0
26298,53335,1879,1958,2625,5460,1012,10164,10092,10057,10036,10174,10103,10038,10107,0.9943,0
2630,1869,1958,2353,3725,4609,10052,10085,10061,10062,10044,10097,10067,10051,0.9962,0,0
2634,10257,10057,10449,414149,47,8087,6720,0.9947,0,0,0,0,0,0,0,0
26353,467,2099,10486,10411,10293,1020,10555,10401,1062,10471,10121,10621,0.991,0,0,0
2639,4609,10067,10061,1020,10038,10036,1021,10221,0.9936,0,0,0,0,0,0,0
2643,1869,1870,1875,144455,7020,10052,10085,10092,0.9978,0,0,0,0,0,0,0
2644,1869,1870,7020,10052,10139,10085,0.9973,0,0,0,0,0,0,0,0,0
2646,1958,1012,10249,1020,10130,10253,10092,0.9943,0,0,0,0,0,0,0,0
26470,467,1869,1870,1875,144455,10052,10085,10253,10092,10131,1003,1017,1021,10124,0.9989,0
26471,1050,1869,1012,10052,10085,10253,10221,10092,10236,10051,1009,1021,0.999,0,0,0
2648,22948,1958,2353,3006,8970,1012,10062,10164,10103,10156,10130,0.9975,0,0,0,0
26499,1869,2353,3725,7020,10052,10057,10092,10085,10051,10112,10121,10062,10097,10130,0.9946,0
26507,1869,1870,1875,144455,1960,10052,10085,10092,1003,10253,10227,10262,10051,0.9971,0,0
26509,7020,10221,10196,10092,10057,10130,1020,0.9894,0,0,0,0,0,0,0,0
26548,1869,1870,1875,144455,10052,10085,1003,10051,10309,10092,10296,1017,10253,1029,0.9987,0
26579,1958,2099,2353,23462,23764,1012,10164,10156,10107,10121,10023,10062,10013,10057,10112,0.9957
2658,4609,10111,1021,10062,10061,10156,10128,10198,10084,10133,10055,0.9952,0,0,0,0
26586,18,21,89845,10257,10057,7025,6772,1869,7391,6773,0.9915,0,0,0,0,0
2662,18,21,340273,10257,10057,5087,7391,2099,3172,6929,1869,3659,0.9887,0,0,0
266727,1869,1870,1875,144455,2308,10052,10085,10092,10253,1029,10051,10257,10158,0.9992,0,0
2670,7020,10221,10057,10196,10092,10130,10059,1020,10016,10128,1021,0.9899,0,0,0,0
2676,18,21,10057,116236,36,5452,4609,1958,3172,5460,4149,7391,0.9911,0,0,0
2687,1869,2353,3725,4609,10052,10061,10085,100132464,10067,10092,0.9963,0,0,0,0,0
2690,4783,10174,161742,131965,1869,145873,10067,11078,1870,0.991,0,0,0,0,0,0
2692,116236,55,2180,72,8038,4609,1870,1869,6257,1958,5452,3172,5460,2308,0.9926,0
2697,2354,2353,3726,3725,10332,10164,10402,10112,10036,10411,10131,10216,1020,0.9966,0,0
26986,1869,1870,1875,144455,1958,1012,10052,10085,10009,0.9986,0,0,0,0,0,0
26996,21,10257,10057,116236,30,5452,6257,0.9913,0,0,0,0,0,0,0,0
2702,4773,4776,144455,1870,1827,1869,0.989,0,0,0,0,0,0,0,0,0
27036,340273,112,147,57016,1646,2033,22809,4779,1523,5087,4205,4800,10210,2908,4282,0.9954
2707,53335,1879,1958,1959,1960,1012,10197,100289635,10128,10092,10062,10036,0.9962,0,0,0
27076,53335,1879,7020,10196,10092,10038,10057,0.9927,0,0,0,0,0,0,0,0
27085,5460,11178,1756,0.9929,0,0,0,0,0,0,0,0,0,0,0,0
27092,53335,1879,1958,7020,1012,10092,10057,10036,10038,10130,10128,100289635,10111,0.9963,0,0
27101,2353,10332,10164,10486,10112,10371,0.9964,0,0,0,0,0,0,0,0,0
27112,4609,7020,10067,10061,10092,10055,10057,10036,100132464,10056,10059,10016,0.9929,0,0,0
27122,1958,23462,7546,1012,10092,10138,10016,10210,10156,10048,10226,10036,0.9986,0,0,0
27123,176,414149,47,10965,6296,6720,1488,7391,5885,4800,405,3174,0.9943,0,0,0
27124,84448,36,10965,6296,130399,4609,3727,2353,6688,1958,23764,5885,3172,0.988,0,0
27132,1869,4609,10052,10061,10067,10085,10092,10051,10131,0.9982,0,0,0,0,0,0
27141,4609,10061,10038,10058,10131,1020,10124,10111,10127,10055,0.9934,0,0,0,0,0
27152,3725,10332,10164,10402,10221,10131,10216,10128,10294,0.9934,0,0,0,0,0,0
27163,21,89845,4363,10257,30,7391,7157,1869,6778,6257,6667,10664,0.9971,0,0,0
27165,4609,10067,10061,1020,10131,10038,10055,10127,0.9963,0,0,0,0,0,0,0
2717,4609,7020,10067,10061,10055,10092,10057,10036,10038,10059,0.9931,0,0,0,0,0
27180,340273,10965,130399,8751,8754,9319,1869,1523,0.9949,0,0,0,0,0,0,0
2719,1050,7020,1012,10092,10196,0.9973,0,0,0,0,0,0,0,0,0,0
27232,21,10257,10057,116236,176,5452,4609,1958,1488,7391,1869,5460,2099,5885,6775,0.9917
27253,1050,1649,2354,8061,2353,10332,1012,10164,1033,10112,10036,1020,10309,0.9967,0,0
27254,467,3725,10332,10293,10164,10402,10216,1019,10221,10131,1020,10128,0.9921,0,0,0
27283,112,173,174,10551,257,7391,1879,23462,2033,4208,29117,0.9934,0,0,0,0
27286,6662,7020,10221,10196,10057,10092,1020,10130,0.9895,0,0,0,0,0,0,0
27293,4609,10067,10061,10055,10197,100132464,0.9899,0,0,0,0,0,0,0,0,0
27338,1869,1870,1875,144455,10052,10085,10253,10092,0.9987,0,0,0,0,0,0,0
27344,84448,176,23305,6296,130399,1488,6257,7391,1958,2099,405,3727,5885,2353,0.9917,0
27347,1958,1012,10249,10253,10036,10107,10048,10092,0.9951,0,0,0,0,0,0,0
2735,652,655,353500,656,2099,10486,1020,10411,10401,10763,111,10749,10188,11331,10555,0.9968
2736,652,655,353500,656,1869,10052,1029,10253,10092,0.9986,0,0,0,0,0,0
2738,1958,2353,3725,1012,10164,10092,10112,10097,10130,10062,0.9933,0,0,0,0,0
2744,1958,4609,7020,10067,10061,10092,10038,10057,100289635,10055,10036,0.9901,0,0,0,0
2752,1879,10171,10038,10313,10128,10227,100289635,10003,0.9911,0,0,0,0,0,0,0
2774,1050,2353,10332,1012,10164,1033,10112,10216,10309,0.9968,0,0,0,0,0,0
2775,1050,1649,7020,1012,10196,0.997,0,0,0,0,0,0,0,0,0,0
2781,467,1869,2139,8061,2353,10052,10164,10092,1020,10085,10196,10131,10051,10124,10158,0.9955
